tip_label;region;family;Genera;hoarding_status;development_mode;fam_sys_known_nk50;fam_sys_inferred_nk50;incubation_period;in_nest_period;independ_period;time_after_fl_parents;fam_time;median_clutch_size;zoolrec_hits;brain_size;mov_min;mov_max;terr_sys;terr_sys_source;body_weight;weight_source;food_diversity;food_energy_mean;food_fibres_mean;habitat_gen_spec;flocking_tendency;flocking_reason;foraging.method;INTRA_COL;HET_COL;invertivore;aquatic;vertivore;carnivore;nectarivore;frugivore;granivore;plants;diet;Bio1_mean;Bio2_mean;Bio3_mean;Bio4_mean;Bio7_mean;Bio12_mean;Bio15_mean;altitude_mean;npp_mean;hoard;hoard2;type;strategy;strat_final;foodPCA1;foodPCA2;foodPCA3;foodPCA4;NestPlacement;A1;A2;A3;A4
Circus_aeruginosus;Palearctic;Accipitridae;Circus;hoarder;altrical;no_fam;no_fam;34.5;37.5;20;NA;NA;4;714;5.766530909;0;3;semi_colonial;hbw;603;hbw;1.570964811;189.79608;0.62;specialist;NA;NA;AerialScreaning;colonial;acolonial;10;10;80;0;0;0;0;0;vertivore;5.226758486;10.18023361;2.519958966;1070.546952;40.36734759;464.1417637;40.54235277;459.963641;1.43E+11;1;Y;L;PR;provision;0.235591513;-0.116369248;-0.393790207;-0.551567335;ExposedGround;0.235591513;-0.116369248;-0.393790207;-0.551567335
Circus_approximans;Australia;Accipitridae;Circus;non_hoarder;altrical;family;family;33;45;40;90;50;4;72;NA;3;3;solitary_nester;hbw;708.5;MG-hbw;1.960975763;186.22908;1.12;generalist;unknown;family;AerialScreaning;acolonial;acolonial;10;10;70;10;0;0;0;0;vertivore;15.92994016;12.26441894;4.846054519;460.0076145;25.1964062;752.8491094;29.86114708;283.9689013;3.53E+11;0;N;;N;no;0.235591513;-0.116369248;-0.393790207;-0.551567335;ExposedGround;0.235591513;-0.116369248;-0.393790207;-0.551567335
Circus_assimilis;Australia;Accipitridae;Circus;non_hoarder;altrical;no_fam;no_fam;33;38;50;60;10;3;28;NA;0;3;solitary_nester;hbw;557.25;hbw;0.88131;202.2;0.4;generalist;no_flocks;no_flocks;AerialScreaning;acolonial;acolonial;0;0;100;0;0;0;0;0;vertivore;21.64191213;13.86566047;5.044424831;487.0101859;27.701922;502.0150486;59.21779991;283.2017234;1.86E+11;0;N;;N;no;0.31403525;-0.125587032;-0.410031609;-0.547210282;ExposedElevated;0.31403525;-0.125587032;-0.410031609;-0.547210282
Circus_buffoni;Neotropical;Accipitridae;Circus;non_hoarder;altrical;coop;coop;NA;NA;NA;NA;NA;3;13;NA;3;3;;;501;hbw;1.000018957;202.2;0.4;generalist;NA;NA;AerialScreaning;acolonial;acolonial;0;0;100;0;0;0;0;0;vertivore;20.84489811;11.98327817;5.930824283;291.5934802;20.77189887;1281.749351;49.04431841;342.9179664;6.16E+11;0;N;;N;no;0.31403525;-0.125587032;-0.410031609;-0.547210282;ExposedGround;0.31403525;-0.125587032;-0.410031609;-0.547210282
Circus_cinereus;Neotropical;Accipitridae;Circus;non_hoarder;altrical;NA;NA;NA;NA;NA;NA;NA;4;13;NA;0;3;breeding_terr;hbw;420;hbw;1.295478416;199.31;0.62;generalist;NA;NA;AerialScreaning;colonial;acolonial;10;0;90;0;0;0;0;0;vertivore;10.71514528;12.62532184;5.272592799;405.6294592;23.9327068;621.2472404;51.02908383;1125.629067;1.83E+11;0;N;;N;no;0.249573704;-0.114730742;-0.38394297;-0.534016307;ExposedGround;0.249573704;-0.114730742;-0.38394297;-0.534016307
Circus_cyaneus;Widespread;Accipitridae;Circus;non_hoarder;altrical;no_fam;no_fam;31;37;20;20;0;4;828;4.95208;0;3;semi_colonial;hbw;440;hbw;1.356794158;195.743;1.12;generalist;usually;colonialbreeding;AerialScreaning;colonial;acolonial;10;0;80;10;0;0;0;0;vertivore;-1.472085401;10.79429126;2.357213043;1267.929436;46.65316652;533.9509744;48.2556568;518.4233319;1.51E+11;0;N;;N;no;0.242746642;-0.113903738;-0.381397466;-0.532349742;ExposedGround;0.242746642;-0.113903738;-0.381397466;-0.532349742
Circus_macrosceles;;Accipitridae;Circus;non_hoarder;altrical;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;;;663.6;hbw;1.57096679;199.31;0.62;;NA;NA;AerialScreaning;acolonial;acolonial;10;0;90;0;0;0;0;0;vertivore;23.11237012;12.97135856;6.625896883;211.656636;19.4740051;1248.070378;107.4530484;594.9442757;5.09E+11;0;N;;N;no;0.082651844;-0.084760799;-0.304441069;-0.472685983;ExposedGround;0.082651844;-0.084760799;-0.304441069;-0.472685983
Circus_macrourus;Palearctic;Accipitridae;Circus;non_hoarder;altrical;no_fam;no_fam;NA;NA;21;21;0;4;149;NA;3;3;semi_colonial;hbw;380;hbw;1.156796396;196.42;0.84;specialist;usually;migration;AerialScreaning;colonial;acolonial;20;0;80;0;0;0;0;0;vertivore;3.424132456;10.42096404;2.294007018;1229.354356;44.54392456;403.4661053;39.78390351;459.1882789;1.30E+11;0;N;;N;no;0.172059845;-0.101159396;-0.349248428;-0.510593384;ExposedGround;0.172059845;-0.101159396;-0.349248428;-0.510593384
Circus_maillardi;Africa;Accipitridae;Circus;non_hoarder;altrical;NA;NA;NA;NA;60;NA;NA;2;13;NA;0;2;;;674.3333333;hbw;1.360980538;199.31;0.62;generalist;NA;NA;AerialScreaning;acolonial;acolonial;10;0;90;0;0;0;0;0;vertivore;17.9;6.321052632;5.221052632;211.3368421;11.98421053;1609.736842;50.73684211;1004.264151;3.46E+11;0;N;;N;no;0.249573704;-0.114730742;-0.38394297;-0.534016307;ExposedGround;0.249573704;-0.114730742;-0.38394297;-0.534016307
Circus_maurus;Africa;Accipitridae;Circus;non_hoarder;altrical;no_fam;no_fam;NA;NA;14;NA;NA;3;29;NA;3;3;breeding_terr;hbw;509;hbw;0.921945157;199.31;0.62;specialist;no_flocks;no_flocks;AerialScreaning;colonial;acolonial;10;0;90;0;0;0;0;0;vertivore;16.54814131;14.93830625;5.375677006;447.0310561;27.76788528;343.7743722;51.61890694;939.6995823;1.61E+11;0;N;;N;no;0.242746642;-0.113903738;-0.381397466;-0.532349742;ExposedGround;0.242746642;-0.113903738;-0.381397466;-0.532349742
